Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2022-10-19,30-062,ATL,,HOU,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,2022-10-21,30-064,ATL,,ORL,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,,2022-10-23,30-066,ATL,,CHO,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,,2022-10-26,30-069,ATL,@,DET,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,,2022-10-28,30-071,ATL,@,DET,W (+24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,,2022-10-29,30-072,ATL,@,MIL,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,,2022-10-31,30-074,ATL,@,TOR,L (-30),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,,2022-11-02,30-076,ATL,@,NYK,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,,2022-11-05,30-079,ATL,,NOP,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,,2022-11-07,30-081,ATL,,MIL,W (+19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,,2022-11-09,30-083,ATL,,UTA,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,,2022-11-10,30-084,ATL,,PHI,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,,2022-11-12,30-086,ATL,@,PHI,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,,2022-11-14,30-088,ATL,@,MIL,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,,2022-11-16,30-090,ATL,,BOS,L (-25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,2022-11-19,30-093,ATL,,TOR,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,2022-11-21,30-095,ATL,@,CLE,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,,2022-11-23,30-097,ATL,,SAC,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,,2022-11-25,30-099,ATL,@,HOU,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,,2022-11-27,30-101,ATL,,MIA,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,,2022-11-28,30-102,ATL,@,PHI,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,,2022-11-30,30-104,ATL,@,ORL,W (+17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,1,2022-12-02,30-106,ATL,,DEN,W (+8),0,22:19,2,9,.222,1,6,.167,0,0,,0,2,2,1,0,0,4,1,5,-3.6,-2
24,2,2022-12-05,30-109,ATL,,OKC,L (-7),0,22:27,6,13,.462,5,10,.500,0,0,,0,3,3,1,1,0,1,0,17,11.9,-13
25,3,2022-12-07,30-111,ATL,@,NYK,L (-24),0,24:58,3,16,.188,0,10,.000,3,3,1.000,0,2,2,1,1,0,0,0,9,1.3,-3
26,4,2022-12-09,30-113,ATL,@,BRK,L (-4),0,33:32,12,18,.667,7,9,.778,0,0,,0,2,2,3,1,0,2,1,31,24.5,+8
27,5,2022-12-11,30-115,ATL,,CHI,W (+1),0,35:43,10,22,.455,6,14,.429,2,2,1.000,0,7,7,5,0,1,3,3,28,18.7,-1
28,,2022-12-12,30-116,ATL,@,MEM,L (-25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,6,2022-12-14,30-118,ATL,@,ORL,L (-11),0,31:05,6,14,.429,3,9,.333,2,2,1.000,1,4,5,3,0,0,2,3,17,10.4,-9
30,7,2022-12-16,30-120,ATL,@,CHO,W (+19),1,29:20,9,14,.643,7,10,.700,3,5,.600,0,9,9,0,1,0,4,0,28,20.7,+22
31,8,2022-12-19,30-123,ATL,,ORL,W (+1),1,34:32,4,12,.333,2,8,.250,0,0,,1,3,4,2,1,0,0,0,10,7.2,-15
32,9,2022-12-21,30-125,ATL,,CHI,L (-2),0,29:56,4,12,.333,3,6,.500,2,2,1.000,0,4,4,3,1,0,2,1,13,8.1,+1
33,10,2022-12-23,30-127,ATL,,DET,W (+25),0,33:55,7,18,.389,3,11,.273,2,2,1.000,0,1,1,2,1,1,0,2,19,11.8,+18
34,11,2022-12-27,30-131,ATL,@,IND,L (-15),1,32:25,7,12,.583,3,5,.600,1,2,.500,1,3,4,3,1,1,1,2,18,15.6,-19
35,12,2022-12-28,30-132,ATL,,BRK,L (-1),0,28:30,5,11,.455,3,4,.750,1,2,.500,0,2,2,3,1,0,0,1,14,11.2,+4
36,13,2022-12-30,30-134,ATL,,LAL,L (-9),0,33:32,7,19,.368,3,12,.250,0,0,,0,4,4,3,0,1,0,1,17,10.1,-14
37,14,2023-01-02,30-137,ATL,@,GSW,L (-2),0,43:15,9,16,.563,3,6,.500,0,0,,0,3,3,3,1,1,1,2,21,16.3,+6
38,15,2023-01-04,30-139,ATL,@,SAC,W (+3),0,32:05,7,13,.538,3,7,.429,0,0,,2,6,8,3,1,0,0,2,17,16.2,-1
39,16,2023-01-06,30-141,ATL,@,LAL,L (-16),0,29:02,3,7,.429,0,3,.000,4,4,1.000,0,3,3,2,1,1,2,3,10,7.1,-24
40,17,2023-01-08,30-143,ATL,@,LAC,W (+4),0,25:57,2,13,.154,0,7,.000,0,0,,0,4,4,5,1,0,1,1,4,0.0,+5
41,18,2023-01-11,30-146,ATL,,MIL,L (-9),0,39:34,9,18,.500,3,8,.375,1,2,.500,0,3,3,5,2,0,2,2,22,16.2,+7
42,19,2023-01-13,30-148,ATL,@,IND,W (+2),0,26:43,2,9,.222,0,4,.000,0,0,,0,3,3,2,0,0,1,2,4,-1.0,-12
43,,2023-01-14,30-149,ATL,@,TOR,W (+11),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
44,20,2023-01-16,30-151,ATL,,MIA,W (+8),0,30:53,2,11,.182,2,5,.400,2,2,1.000,0,1,1,5,2,0,0,1,8,6.5,+10
45,21,2023-01-18,30-153,ATL,@,DAL,W (+8),0,32:36,5,13,.385,2,8,.250,0,0,,1,2,3,5,1,0,1,3,12,8.5,+6
46,22,2023-01-20,30-155,ATL,,NYK,W (+15),0,23:57,6,12,.500,2,8,.250,0,0,,1,1,2,2,0,0,0,2,14,9.6,+8
47,,2023-01-21,30-156,ATL,,CHO,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
48,23,2023-01-23,30-158,ATL,@,CHI,L (-11),1,32:43,4,12,.333,3,8,.375,0,0,,1,0,1,4,1,0,2,3,11,5.5,-20
49,24,2023-01-25,30-160,ATL,@,OKC,W (+5),1,34:22,7,11,.636,4,7,.571,2,4,.500,1,3,4,4,1,1,1,2,20,18.6,0
50,25,2023-01-28,30-163,ATL,,LAC,L (-7),0,24:01,4,8,.500,1,4,.250,0,0,,0,0,0,3,1,0,1,1,9,6.7,-1
51,26,2023-01-30,30-165,ATL,@,POR,L (-4),0,32:08,7,16,.438,4,10,.400,5,7,.714,0,4,4,7,1,0,1,2,23,19.1,-2
52,27,2023-02-01,30-167,ATL,@,PHO,W (+32),0,24:46,6,10,.600,4,7,.571,2,2,1.000,0,2,2,3,0,0,2,3,18,12.9,+21
53,28,2023-02-03,30-169,ATL,@,UTA,W (+7),0,25:25,3,9,.333,2,6,.333,0,0,,1,5,6,6,0,1,2,1,8,7.6,+8
54,29,2023-02-04,30-170,ATL,@,DEN,L (-20),0,30:17,4,10,.400,0,2,.000,0,0,,1,4,5,3,3,1,2,5,8,6.3,-17
55,30,2023-02-07,30-173,ATL,@,NOP,L (-9),0,30:53,7,13,.538,5,9,.556,3,5,.600,1,2,3,2,1,0,1,1,22,17.2,+2
56,31,2023-02-09,30-175,ATL,,PHO,W (+9),0,22:05,2,12,.167,2,9,.222,0,0,,0,0,0,2,0,0,0,4,6,-1.8,-1
57,32,2023-02-11,30-177,ATL,,SAS,W (+19),0,26:51,5,9,.556,3,3,1.000,0,0,,1,2,3,2,0,0,0,0,13,11.4,0
58,33,2023-02-13,30-179,ATL,@,CHO,L (-6),0,31:22,4,11,.364,3,5,.600,0,0,,1,3,4,2,2,1,1,2,11,8.8,-3
59,34,2023-02-15,30-181,ATL,,NYK,L (-21),0,23:37,3,5,.600,1,3,.333,1,1,1.000,0,3,3,3,1,1,0,2,8,9.6,-8
60,35,2023-02-24,30-190,ATL,,CLE,W (+17),0,22:23,4,5,.800,2,3,.667,0,0,,0,2,2,2,0,1,3,1,10,7.4,+8
61,36,2023-02-26,30-192,ATL,,BRK,W (+2),0,28:17,7,11,.636,5,8,.625,3,3,1.000,0,6,6,3,3,0,2,1,22,21.6,+28
62,37,2023-02-28,30-194,ATL,,WAS,L (-3),0,19:31,4,7,.571,4,5,.800,4,4,1.000,0,2,2,2,0,0,2,0,16,12.7,-2
63,38,2023-03-03,30-197,ATL,,POR,W (+18),0,23:01,3,9,.333,1,5,.200,0,0,,0,1,1,2,0,2,0,3,7,3.8,+13
64,39,2023-03-04,30-198,ATL,@,MIA,L (-8),0,26:06,4,9,.444,3,5,.600,2,2,1.000,0,0,0,2,1,0,3,4,13,6.1,0
65,40,2023-03-06,30-200,ATL,@,MIA,L (-2),0,24:25,4,8,.500,2,5,.400,2,3,.667,1,1,2,2,1,0,0,1,12,10.6,-3
66,41,2023-03-08,30-202,ATL,@,WAS,W (+2),0,24:25,5,7,.714,2,3,.667,2,2,1.000,1,7,8,5,2,0,0,1,14,19.0,+7
67,42,2023-03-10,30-204,ATL,@,WAS,W (+7),0,22:18,5,11,.455,4,8,.500,1,1,1.000,0,2,2,3,0,0,2,3,15,8.8,+10
68,,2023-03-11,30-205,ATL,,BOS,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
69,43,2023-03-13,30-207,ATL,,MIN,L (-21),0,20:04,1,8,.125,0,4,.000,0,0,,0,1,1,2,0,0,1,1,2,-2.9,-8
70,44,2023-03-17,30-211,ATL,,GSW,W (+8),0,25:35,5,11,.455,4,8,.500,0,0,,0,2,2,0,1,2,1,1,14,9.9,+8
71,45,2023-03-19,30-213,ATL,@,SAS,L (-8),0,22:27,4,8,.500,2,4,.500,3,3,1.000,2,0,2,1,0,0,2,0,13,9.1,+1
72,46,2023-03-21,30-215,ATL,,DET,W (+22),1,27:16,5,11,.455,4,9,.444,4,5,.800,0,1,1,3,0,0,2,2,18,11.5,+17
