Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-19,28-154,ATL,,HOU,W (+10),1,26:03,1,3,.333,0,0,,0,0,,2,6,8,0,0,2,1,2,2,3.1,-1
2,2,2022-10-21,28-156,ATL,,ORL,W (+10),1,31:37,4,6,.667,0,0,,0,0,,0,7,7,0,2,1,0,1,8,9.8,+6
3,3,2022-10-23,28-158,ATL,,CHO,L (-17),1,22:57,6,8,.750,0,0,,2,2,1.000,5,5,10,1,1,1,1,4,14,15.6,-19
4,4,2022-10-26,28-161,ATL,@,DET,W (+5),1,26:26,3,8,.375,0,0,,0,0,,5,5,10,2,1,4,1,0,6,10.8,+22
5,5,2022-10-28,28-163,ATL,@,DET,W (+24),1,23:26,2,6,.333,0,0,,1,3,.333,3,8,11,1,0,2,1,2,5,5.6,+14
6,6,2022-10-29,28-164,ATL,@,MIL,L (-8),1,28:47,5,8,.625,0,0,,1,2,.500,5,5,10,1,2,1,2,1,11,13.0,-14
7,7,2022-10-31,28-166,ATL,@,TOR,L (-30),1,25:25,6,7,.857,0,0,,1,4,.250,2,3,5,0,0,1,1,2,13,10.5,-24
8,8,2022-11-02,28-168,ATL,@,NYK,W (+13),1,25:11,3,8,.375,0,0,,2,2,1.000,4,6,10,1,1,0,0,1,8,9.5,+15
9,9,2022-11-05,28-171,ATL,,NOP,W (+3),1,35:00,10,15,.667,0,0,,1,2,.500,5,14,19,1,1,4,1,3,21,24.1,+8
10,10,2022-11-07,28-173,ATL,,MIL,W (+19),1,22:09,2,7,.286,0,0,,1,1,1.000,3,9,12,0,1,1,1,3,5,5.2,+1
11,11,2022-11-09,28-175,ATL,,UTA,L (-6),1,26:11,7,13,.538,0,0,,1,2,.500,10,9,19,1,0,2,1,1,15,18.7,+7
12,12,2022-11-10,28-176,ATL,,PHI,W (+9),1,26:22,7,10,.700,0,0,,4,6,.667,5,15,20,0,0,0,1,2,18,19.2,+24
13,13,2022-11-12,28-178,ATL,@,PHI,L (-12),1,33:07,7,9,.778,0,0,,0,0,,6,9,15,0,0,0,4,3,14,12.2,-20
14,14,2022-11-14,28-180,ATL,@,MIL,W (+15),1,30:00,9,11,.818,0,0,,1,4,.250,7,3,10,2,0,2,1,2,19,20.5,+14
15,15,2022-11-16,28-182,ATL,,BOS,L (-25),1,18:25,3,3,1.000,0,0,,1,2,.500,2,6,8,0,0,0,0,0,7,8.9,-9
16,16,2022-11-19,28-185,ATL,,TOR,W (+2),1,34:21,9,13,.692,0,0,,0,0,,6,8,14,1,0,3,0,4,18,20.3,+10
17,17,2022-11-21,28-187,ATL,@,CLE,L (-12),1,27:08,2,5,.400,0,0,,0,0,,2,10,12,3,2,2,1,4,4,8.6,-14
18,18,2022-11-23,28-189,ATL,,SAC,W (+9),1,28:16,5,10,.500,0,0,,1,1,1.000,4,10,14,1,0,3,0,3,11,13.4,+6
19,,2022-11-25,28-191,ATL,@,HOU,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,,2022-11-27,28-193,ATL,,MIA,L (-8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
21,19,2022-11-28,28-194,ATL,@,PHI,L (-3),1,33:00,4,9,.444,0,0,,2,4,.500,4,12,16,0,1,0,1,3,10,9.7,-4
22,20,2022-11-30,28-196,ATL,@,ORL,W (+17),1,29:28,9,10,.900,0,0,,2,2,1.000,5,7,12,1,1,0,0,4,20,22.3,+21
23,21,2022-12-02,28-198,ATL,,DEN,W (+8),1,30:32,5,10,.500,0,0,,2,4,.500,6,5,11,0,1,0,0,4,12,11.3,-2
24,22,2022-12-05,28-201,ATL,,OKC,L (-7),1,30:24,7,10,.700,0,0,,0,0,,7,9,16,0,0,2,4,4,14,13.2,-2
25,23,2022-12-07,28-203,ATL,@,NYK,L (-24),1,21:51,6,7,.857,0,0,,1,2,.500,7,5,12,0,0,1,0,3,13,16.0,-25
26,24,2022-12-09,28-205,ATL,@,BRK,L (-4),1,28:52,6,11,.545,0,0,,3,4,.750,4,7,11,1,1,1,1,2,15,14.8,-7
27,25,2022-12-11,28-207,ATL,,CHI,W (+1),1,31:03,7,9,.778,0,0,,1,1,1.000,3,11,14,1,1,1,0,1,15,18.9,-2
28,,2022-12-12,28-208,ATL,@,MEM,L (-25),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
29,26,2022-12-14,28-210,ATL,@,ORL,L (-11),1,22:03,8,10,.800,0,0,,0,0,,2,4,6,2,0,0,0,2,16,15.4,-5
30,,2022-12-16,28-212,ATL,@,CHO,W (+19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,,2022-12-19,28-215,ATL,,ORL,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
