Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-19,24-030,ATL,,HOU,W (+10),1,37:54,7,22,.318,1,9,.111,8,8,1.000,0,3,3,13,1,1,3,1,23,18.7,+16
2,2,2022-10-21,24-032,ATL,,ORL,W (+10),1,37:22,7,24,.292,4,11,.364,7,7,1.000,2,2,4,13,0,0,6,3,25,14.9,+5
3,3,2022-10-23,24-034,ATL,,CHO,L (-17),1,33:17,9,25,.360,2,8,.250,8,9,.889,2,3,5,9,0,0,1,4,28,19.7,-6
4,4,2022-10-26,24-037,ATL,@,DET,W (+5),1,37:44,9,21,.429,1,7,.143,16,17,.941,0,3,3,6,1,0,1,2,35,27.8,+10
5,5,2022-10-28,24-039,ATL,@,DET,W (+24),1,30:07,12,20,.600,4,6,.667,8,10,.800,1,1,2,12,0,0,1,1,36,34.0,+12
6,6,2022-10-29,24-040,ATL,@,MIL,L (-8),1,36:26,15,32,.469,5,10,.500,7,7,1.000,1,5,6,5,0,0,2,1,42,28.9,-13
7,7,2022-10-31,24-042,ATL,@,TOR,L (-30),1,32:27,3,13,.231,1,5,.200,7,8,.875,0,0,0,10,1,0,10,0,14,3.7,-29
8,8,2022-11-02,24-044,ATL,@,NYK,W (+13),1,27:52,7,22,.318,2,7,.286,1,2,.500,1,5,6,7,1,0,1,1,17,10.7,+17
9,9,2022-11-05,24-047,ATL,,NOP,W (+3),1,42:21,9,26,.346,2,9,.222,14,15,.933,1,0,1,10,2,1,5,3,34,23.2,-6
10,,2022-11-07,24-049,ATL,,MIL,W (+19),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
11,10,2022-11-09,24-051,ATL,,UTA,L (-6),1,35:45,10,28,.357,2,5,.400,0,0,,1,3,4,9,2,0,2,0,22,14.3,+8
12,11,2022-11-10,24-052,ATL,,PHI,W (+9),1,33:04,7,21,.333,2,8,.250,10,10,1.000,1,2,3,7,1,0,6,0,26,15.3,+16
13,12,2022-11-12,24-054,ATL,@,PHI,L (-12),1,37:45,8,18,.444,2,7,.286,9,12,.750,1,0,1,11,1,0,7,1,27,18.4,-5
14,13,2022-11-14,24-056,ATL,@,MIL,W (+15),1,33:46,7,19,.368,2,5,.400,5,5,1.000,0,3,3,9,1,0,2,0,21,16.7,+10
15,14,2022-11-16,24-058,ATL,,BOS,L (-25),1,30:42,10,23,.435,2,7,.286,5,6,.833,1,4,5,9,1,0,1,1,27,22.3,-10
16,15,2022-11-19,24-061,ATL,,TOR,W (+2),1,41:44,12,21,.571,2,4,.500,7,9,.778,1,2,3,12,1,1,2,3,33,30.5,+11
17,16,2022-11-21,24-063,ATL,@,CLE,L (-12),1,35:27,10,22,.455,1,7,.143,4,6,.667,0,2,2,10,1,0,6,1,25,15.0,-19
18,17,2022-11-23,24-065,ATL,,SAC,W (+9),1,34:37,11,19,.579,4,7,.571,9,9,1.000,0,1,1,7,0,0,4,2,35,26.5,+13
19,18,2022-11-25,24-067,ATL,@,HOU,L (-6),1,37:34,13,28,.464,4,10,.400,14,16,.875,0,0,0,5,1,0,4,4,44,27.7,-6
20,19,2022-11-27,24-069,ATL,,MIA,L (-8),1,38:25,4,16,.250,1,8,.125,13,13,1.000,3,2,5,14,1,0,3,1,22,22.5,+2
21,20,2022-11-28,24-070,ATL,@,PHI,L (-3),1,34:04,6,14,.429,1,4,.250,5,5,1.000,1,1,2,10,0,0,3,0,18,15.6,-7
22,21,2022-11-30,24-072,ATL,@,ORL,W (+17),1,36:13,12,23,.522,2,11,.182,4,5,.800,0,2,2,14,0,0,2,0,30,26.7,+24
23,,2022-12-02,24-074,ATL,,DEN,W (+8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
24,22,2022-12-05,24-077,ATL,,OKC,L (-7),1,36:40,6,19,.316,1,7,.143,10,11,.909,0,3,3,10,0,0,4,1,23,15.2,-11
25,23,2022-12-07,24-079,ATL,@,NYK,L (-24),1,30:03,9,20,.450,0,4,.000,1,2,.500,1,3,4,6,0,0,4,0,19,10.0,-26
26,24,2022-12-09,24-081,ATL,@,BRK,L (-4),1,37:20,12,25,.480,2,7,.286,7,7,1.000,0,0,0,9,3,1,8,2,33,21.5,-6
27,25,2022-12-11,24-083,ATL,,CHI,W (+1),1,42:27,5,18,.278,2,8,.250,7,9,.778,0,2,2,14,0,0,6,4,19,10.4,+7
28,,2022-12-12,24-084,ATL,@,MEM,L (-25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,26,2022-12-14,24-086,ATL,@,ORL,L (-11),1,38:44,6,15,.400,1,5,.200,6,7,.857,1,2,3,16,0,0,5,3,19,16.8,-17
30,27,2022-12-16,24-088,ATL,@,CHO,W (+19),1,33:39,8,18,.444,2,5,.400,13,14,.929,0,1,1,9,1,0,4,1,31,24.4,+3
31,28,2022-12-19,24-091,ATL,,ORL,W (+1),1,36:17,11,22,.500,3,7,.429,12,12,1.000,1,2,3,13,0,0,4,1,37,32.0,+4
32,29,2022-12-21,24-093,ATL,,CHI,L (-2),1,38:06,9,24,.375,7,14,.500,9,9,1.000,2,4,6,6,1,0,5,1,34,23.2,+2
33,30,2022-12-23,24-095,ATL,,DET,W (+25),1,31:05,9,15,.600,3,7,.429,5,8,.625,0,2,2,13,2,0,1,0,26,28.6,+17
34,31,2022-12-27,24-099,ATL,@,IND,L (-15),1,34:06,5,15,.333,3,6,.500,9,10,.900,0,3,3,10,0,1,4,1,22,17.3,-15
35,,2022-12-28,24-100,ATL,,BRK,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,32,2022-12-30,24-102,ATL,,LAL,L (-9),1,36:09,11,24,.458,0,4,.000,7,9,.778,2,1,3,8,1,0,4,4,29,18.5,-9
37,33,2023-01-02,24-105,ATL,@,GSW,L (-2),1,43:31,8,22,.364,3,10,.300,11,13,.846,1,6,7,14,1,0,4,2,30,25.5,-8
38,34,2023-01-04,24-107,ATL,@,SAC,W (+3),1,31:49,7,12,.583,1,2,.500,6,7,.857,0,0,0,6,1,0,5,2,21,14.4,+6
39,35,2023-01-06,24-109,ATL,@,LAL,L (-16),1,34:13,12,24,.500,2,8,.250,6,7,.857,1,4,5,9,3,0,6,2,32,24.0,+2
40,36,2023-01-08,24-111,ATL,@,LAC,W (+4),1,34:30,9,17,.529,3,6,.500,9,9,1.000,0,2,2,8,1,0,4,3,30,23.7,+11
41,,2023-01-11,24-114,ATL,,MIL,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,37,2023-01-13,24-116,ATL,@,IND,W (+2),1,36:54,6,16,.375,6,10,.600,8,9,.889,0,2,2,11,0,0,2,0,26,23.1,+20
43,38,2023-01-14,24-117,ATL,@,TOR,W (+11),1,37:43,9,17,.529,2,5,.400,9,9,1.000,0,0,0,9,2,1,3,2,29,25.9,+15
44,39,2023-01-16,24-119,ATL,,MIA,W (+8),1,35:59,6,13,.462,3,6,.500,9,11,.818,0,3,3,8,4,0,10,4,24,15.4,+1
45,40,2023-01-18,24-121,ATL,@,DAL,W (+8),1,34:52,5,11,.455,0,1,.000,8,8,1.000,0,4,4,12,3,0,4,0,18,20.9,0
46,41,2023-01-20,24-123,ATL,,NYK,W (+15),1,32:31,9,21,.429,1,7,.143,8,8,1.000,1,0,1,6,1,0,4,1,27,17.4,+11
47,42,2023-01-21,24-124,ATL,,CHO,L (-4),1,37:38,9,22,.409,0,4,.000,7,9,.778,0,5,5,12,0,0,6,2,25,15.5,+8
48,43,2023-01-23,24-126,ATL,@,CHI,L (-11),1,37:35,7,16,.438,0,5,.000,7,10,.700,1,2,3,13,0,0,6,1,21,15.4,+6
49,44,2023-01-25,24-128,ATL,@,OKC,W (+5),1,34:40,10,20,.500,3,6,.500,10,11,.909,0,3,3,11,0,0,5,0,33,26.2,-11
50,45,2023-01-28,24-131,ATL,,LAC,L (-7),1,36:02,10,21,.476,0,2,.000,11,14,.786,2,3,5,10,1,0,5,2,31,23.6,0
51,,2023-01-30,24-133,ATL,@,POR,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
52,46,2023-02-01,24-135,ATL,@,PHO,W (+32),1,27:10,8,17,.471,3,3,1.000,1,1,1.000,0,1,1,12,1,0,4,1,20,16.6,+21
53,47,2023-02-03,24-137,ATL,@,UTA,W (+7),1,34:12,10,19,.526,2,8,.250,5,7,.714,2,2,4,6,2,1,2,2,27,23.0,+4
54,,2023-02-04,24-138,ATL,@,DEN,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,48,2023-02-07,24-141,ATL,@,NOP,L (-9),1,35:40,4,14,.286,2,8,.250,6,6,1.000,1,2,3,16,1,0,4,4,16,15.7,-13
56,49,2023-02-09,24-143,ATL,,PHO,W (+9),1,38:14,10,18,.556,5,8,.625,11,12,.917,3,4,7,12,2,0,9,2,36,30.9,+15
57,50,2023-02-11,24-145,ATL,,SAS,W (+19),1,32:37,9,19,.474,2,5,.400,4,4,1.000,1,3,4,17,1,1,5,0,24,24.5,+24
58,51,2023-02-13,24-147,ATL,@,CHO,L (-6),1,34:47,7,18,.389,2,7,.286,9,9,1.000,1,1,2,14,2,0,5,1,25,22.6,-1
59,52,2023-02-15,24-149,ATL,,NYK,L (-21),1,31:30,4,14,.286,1,6,.167,10,13,.769,0,1,1,11,4,0,1,0,19,20.6,-13
