Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-19,27-033,DEN,@,UTA,L (-21),1,32:58,10,17,.588,0,2,.000,2,2,1.000,4,6,10,2,1,1,1,1,22,20.4,-7
2,2,2022-10-21,27-035,DEN,@,GSW,W (+5),1,28:47,5,12,.417,0,6,.000,0,0,,1,2,3,3,0,0,3,1,10,3.6,-10
3,3,2022-10-22,27-036,DEN,,OKC,W (+5),1,28:22,3,9,.333,1,3,.333,4,8,.500,5,5,10,2,0,2,2,0,11,10.1,+19
4,4,2022-10-24,27-038,DEN,@,POR,L (-25),1,27:37,12,16,.750,0,2,.000,2,2,1.000,2,4,6,1,0,0,1,4,26,20.3,-16
5,5,2022-10-26,27-040,DEN,,LAL,W (+11),1,28:30,2,8,.250,0,3,.000,2,4,.500,3,6,9,5,0,2,0,1,6,8.8,+19
6,6,2022-10-28,27-042,DEN,,UTA,W (+16),1,21:19,1,4,.250,1,3,.333,0,2,.000,0,1,1,0,0,2,2,0,3,-0.5,0
7,7,2022-10-30,27-044,DEN,@,LAL,L (-11),1,30:41,7,11,.636,3,4,.750,1,2,.500,1,5,6,0,0,2,1,3,18,14.1,+17
8,8,2022-11-03,27-048,DEN,@,OKC,W (+12),1,35:32,10,13,.769,3,4,.750,4,5,.800,2,3,5,3,1,0,0,0,27,26.9,-1
9,9,2022-11-05,27-050,DEN,,SAS,W (+25),1,22:33,4,6,.667,0,1,.000,0,2,.000,2,4,6,2,0,0,0,1,8,8.2,+15
10,10,2022-11-07,27-052,DEN,@,SAS,W (+6),1,29:42,3,5,.600,0,1,.000,3,5,.600,2,3,5,5,4,1,0,1,9,16.0,+10
11,11,2022-11-09,27-054,DEN,@,IND,W (+3),1,34:23,5,8,.625,1,3,.333,7,9,.778,4,12,16,6,1,1,5,2,18,20.1,+4
12,12,2022-11-11,27-056,DEN,@,BOS,L (-19),1,30:24,6,10,.600,1,2,.500,4,6,.667,3,4,7,2,0,0,0,3,17,15.1,-4
13,13,2022-11-13,27-058,DEN,@,CHI,W (+23),1,25:59,4,6,.667,1,1,1.000,4,6,.667,0,5,5,2,0,0,1,2,13,10.7,+24
14,,2022-11-16,27-061,DEN,,NYK,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
