Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-19,25-238,DEN,@,UTA,L (-21),1,25:55,5,13,.385,1,4,.250,1,1,1.000,1,1,2,1,2,0,3,0,12,5.6,-19
2,,2022-10-21,25-240,DEN,@,GSW,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2,2022-10-22,25-241,DEN,,OKC,W (+5),1,27:30,6,12,.500,1,4,.250,3,4,.750,0,4,4,5,2,0,5,0,16,11.3,+10
4,3,2022-10-24,25-243,DEN,@,POR,L (-25),1,26:37,3,12,.250,2,4,.500,0,2,.000,0,2,2,1,0,0,0,2,8,0.5,-15
5,4,2022-10-26,25-245,DEN,,LAL,W (+11),1,27:43,6,15,.400,1,7,.143,0,0,,0,4,4,6,2,0,4,1,13,7.9,+17
6,5,2022-10-28,25-247,DEN,,UTA,W (+16),1,20:33,5,9,.556,2,4,.500,1,2,.500,0,1,1,1,0,0,0,0,13,9.3,0
7,6,2022-10-30,25-249,DEN,@,LAL,L (-11),1,31:31,9,21,.429,3,7,.429,0,0,,0,4,4,5,0,0,1,1,21,13.2,+13
8,7,2022-11-03,25-253,DEN,@,OKC,W (+12),1,32:57,8,19,.421,4,6,.667,4,4,1.000,1,4,5,2,0,0,2,0,24,15.2,+2
9,8,2022-11-05,25-255,DEN,,SAS,W (+25),1,23:02,6,10,.600,1,3,.333,0,0,,1,0,1,9,0,0,1,0,13,14.4,+17
10,9,2022-11-07,25-257,DEN,@,SAS,W (+6),1,31:38,9,17,.529,0,3,.000,1,3,.333,1,4,5,6,1,0,4,1,19,12.6,+10
11,10,2022-11-09,25-259,DEN,@,IND,W (+3),1,29:47,6,15,.400,1,2,.500,5,5,1.000,3,5,8,4,3,0,3,0,18,16.3,-3
12,11,2022-11-11,25-261,DEN,@,BOS,L (-19),1,34:42,6,17,.353,1,5,.200,1,2,.500,0,4,4,10,0,0,0,2,14,11.5,-12
13,12,2022-11-13,25-263,DEN,@,CHI,W (+23),1,32:10,9,18,.500,2,6,.333,3,3,1.000,1,1,2,2,2,0,2,2,23,15.6,+10
14,13,2022-11-16,25-266,DEN,,NYK,L (-3),1,32:31,7,20,.350,3,7,.429,4,4,1.000,0,9,9,6,1,1,3,1,21,15.0,-1
15,,2022-11-18,25-268,DEN,@,DAL,L (-28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,2022-11-20,25-270,DEN,@,DAL,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,14,2022-11-22,25-272,DEN,,DET,L (-2),1,34:23,3,12,.250,0,2,.000,4,5,.800,0,1,1,8,2,1,2,3,10,7.8,+13
18,,2022-11-23,25-273,DEN,@,OKC,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,15,2022-11-25,25-275,DEN,@,LAC,W (+10),1,33:36,9,21,.429,3,9,.333,0,0,,1,5,6,9,1,0,1,2,21,17.6,+22
20,16,2022-11-28,25-278,DEN,,HOU,W (+16),1,25:28,11,17,.647,4,8,.500,5,6,.833,0,2,2,5,1,1,2,3,31,25.7,+7
21,17,2022-11-30,25-280,DEN,,HOU,W (+20),1,30:38,9,15,.600,4,6,.667,4,5,.800,1,3,4,2,0,0,0,2,26,20.9,+8
22,18,2022-12-02,25-282,DEN,@,ATL,L (-8),1,33:17,7,14,.500,2,5,.400,4,5,.800,0,3,3,7,1,0,2,2,20,16.6,-1
23,19,2022-12-04,25-284,DEN,@,NOP,L (-15),1,32:38,6,17,.353,3,8,.375,3,4,.750,0,4,4,5,0,2,3,2,18,10.4,-7
24,20,2022-12-06,25-286,DEN,,DAL,L (-1),1,30:18,2,11,.182,0,5,.000,7,9,.778,0,2,2,5,1,0,2,5,11,4.4,+15
25,21,2022-12-08,25-288,DEN,@,POR,W (+1),1,35:15,8,21,.381,3,10,.300,2,3,.667,2,3,5,8,1,0,2,0,21,16.0,+16
26,22,2022-12-10,25-290,DEN,,UTA,W (+5),1,36:19,13,19,.684,1,3,.333,3,3,1.000,1,3,4,5,0,0,1,2,30,25.2,+11
27,23,2022-12-14,25-294,DEN,,WAS,W (+13),1,30:15,2,6,.333,1,3,.333,0,0,,0,4,4,6,0,0,0,2,5,6.2,+19
28,24,2022-12-16,25-296,DEN,@,LAL,L (-18),1,35:44,8,16,.500,2,6,.333,5,7,.714,1,4,5,6,1,0,5,0,23,16.3,-18
29,25,2022-12-18,25-298,DEN,,CHO,W (+4),1,34:49,2,11,.182,0,6,.000,2,4,.500,0,1,1,11,0,0,3,0,6,3.3,+12
30,,2022-12-20,25-300,DEN,,MEM,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,26,2022-12-23,25-303,DEN,,POR,W (+13),1,39:19,9,17,.529,3,5,.600,4,6,.667,0,8,8,12,2,0,3,2,25,24.9,+20
32,27,2022-12-25,25-305,DEN,,PHO,W (+3),1,43:11,7,19,.368,5,11,.455,7,8,.875,0,5,5,5,2,1,3,0,26,19.8,+2
33,28,2022-12-27,25-307,DEN,@,SAC,W (+7),1,37:49,7,15,.467,3,7,.429,8,8,1.000,1,4,5,7,2,0,1,1,25,24.7,+5
34,,2022-12-28,25-308,DEN,@,SAC,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,29,2022-12-30,25-310,DEN,,MIA,W (+5),1,33:33,4,9,.444,1,3,.333,5,5,1.000,0,2,2,6,0,0,3,2,14,10.3,-9
36,,2023-01-01,25-312,DEN,,BOS,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,30,2023-01-02,25-313,DEN,@,MIN,L (-13),1,35:53,6,12,.500,1,3,.333,1,1,1.000,1,2,3,4,1,0,2,0,14,11.1,-5
38,31,2023-01-05,25-316,DEN,,LAC,W (+31),1,21:21,7,10,.700,4,5,.800,0,0,,0,4,4,1,0,0,0,2,18,14.9,+21
39,32,2023-01-06,25-317,DEN,,CLE,W (+13),1,32:23,7,13,.538,2,5,.400,2,2,1.000,2,2,4,2,1,2,1,3,18,15.3,+7
40,33,2023-01-09,25-320,DEN,,LAL,W (+13),1,35:33,13,29,.448,5,9,.556,3,4,.750,4,3,7,4,2,0,3,2,34,23.2,+3
41,34,2023-01-11,25-322,DEN,,PHO,W (+29),1,25:29,6,13,.462,2,5,.400,2,3,.667,0,2,2,6,0,0,2,1,16,11.3,+20
42,35,2023-01-13,25-324,DEN,@,LAC,W (+12),1,39:06,8,17,.471,4,7,.571,4,4,1.000,3,5,8,4,0,0,3,0,24,18.7,+3
