Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-19,29-243,DEN,@,UTA,L (-21),1,35:00,0,3,.000,0,2,.000,2,2,1.000,0,4,4,6,2,1,1,2,2,6.2,+3
2,2,2022-10-21,29-245,DEN,@,GSW,W (+5),1,32:47,7,14,.500,3,6,.500,0,0,,2,2,4,1,2,0,2,3,17,11.5,-10
3,3,2022-10-22,29-246,DEN,,OKC,W (+5),1,31:55,7,13,.538,6,10,.600,1,1,1.000,0,5,5,2,0,0,2,5,21,13.6,+16
4,4,2022-10-24,29-248,DEN,@,POR,L (-25),1,30:25,2,6,.333,1,3,.333,1,1,1.000,1,1,2,5,1,0,1,2,6,6.3,-15
5,5,2022-10-26,29-250,DEN,,LAL,W (+11),1,25:15,4,7,.571,3,5,.600,2,2,1.000,0,4,4,1,1,0,0,1,13,12.2,+12
6,,2022-10-28,29-252,DEN,,UTA,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,6,2022-10-30,29-254,DEN,@,LAL,L (-11),1,33:29,3,8,.375,3,4,.750,0,0,,0,5,5,5,1,2,1,1,9,10.6,+5
8,7,2022-11-03,29-258,DEN,@,OKC,W (+12),1,35:06,4,9,.444,3,6,.500,0,0,,0,3,3,1,0,1,0,2,11,7.8,+14
9,8,2022-11-05,29-260,DEN,,SAS,W (+25),1,26:58,5,6,.833,2,3,.667,0,3,.000,0,1,1,3,4,0,2,3,12,11.8,+16
10,9,2022-11-07,29-262,DEN,@,SAS,W (+6),1,31:36,5,8,.625,1,3,.333,0,0,,0,4,4,3,3,0,2,1,11,11.3,+17
11,10,2022-11-09,29-264,DEN,@,IND,W (+3),1,31:25,5,7,.714,3,4,.750,2,2,1.000,1,7,8,2,2,0,3,0,15,15.3,+9
12,11,2022-11-11,29-266,DEN,@,BOS,L (-19),1,33:34,5,11,.455,5,7,.714,0,0,,0,0,0,1,0,0,0,3,15,8.8,-6
13,12,2022-11-13,29-268,DEN,@,CHI,W (+23),1,24:53,3,8,.375,0,2,.000,4,5,.800,0,3,3,2,2,0,1,1,10,8.1,+25
14,13,2022-11-16,29-271,DEN,,NYK,L (-3),1,31:01,5,9,.556,2,5,.400,1,1,1.000,1,0,1,2,0,0,1,4,13,8.2,-2
15,14,2022-11-18,29-273,DEN,@,DAL,L (-28),1,33:33,7,13,.538,3,5,.600,1,1,1.000,2,2,4,1,0,0,1,1,18,13.0,-17
16,15,2022-11-20,29-275,DEN,@,DAL,W (+1),1,38:03,2,11,.182,1,5,.200,4,4,1.000,0,4,4,3,1,0,4,0,9,2.4,+8
17,16,2022-11-22,29-277,DEN,,DET,L (-2),1,29:54,4,10,.400,2,5,.400,0,0,,1,1,2,1,2,2,1,4,10,7.1,+11
18,17,2022-11-23,29-278,DEN,@,OKC,W (+5),1,41:06,4,10,.400,3,8,.375,4,6,.667,2,5,7,1,0,1,2,4,15,9.5,+12
19,18,2022-11-25,29-280,DEN,@,LAC,W (+10),1,30:50,2,4,.500,1,2,.500,1,2,.500,0,0,0,1,1,0,0,1,6,4.9,+23
20,19,2022-11-28,29-283,DEN,,HOU,W (+16),1,23:27,3,4,.750,2,3,.667,0,0,,0,0,0,2,0,1,0,0,8,8.5,+2
21,20,2022-11-30,29-285,DEN,,HOU,W (+20),1,24:55,2,7,.286,1,3,.333,0,0,,0,1,1,2,2,1,1,1,5,3.9,+8
22,21,2022-12-02,29-287,DEN,@,ATL,L (-8),1,30:21,4,9,.444,1,5,.200,0,0,,1,0,1,0,1,0,1,1,9,4.6,-1
23,22,2022-12-04,29-289,DEN,@,NOP,L (-15),1,30:31,2,8,.250,0,4,.000,2,2,1.000,1,0,1,1,1,0,2,1,6,1.2,+2
24,23,2022-12-06,29-291,DEN,,DAL,L (-1),1,29:54,5,9,.556,2,5,.400,0,0,,0,2,2,2,2,1,2,4,12,8.8,+1
25,24,2022-12-08,29-293,DEN,@,POR,W (+1),1,28:22,2,6,.333,2,4,.500,1,1,1.000,0,3,3,2,0,0,0,1,7,5.5,-20
26,25,2022-12-10,29-295,DEN,,UTA,W (+5),1,34:04,6,9,.667,3,6,.500,0,0,,0,6,6,3,1,0,0,3,15,14.8,+9
27,26,2022-12-14,29-299,DEN,,WAS,W (+13),1,30:39,4,11,.364,0,2,.000,3,4,.750,1,4,5,3,2,1,0,1,11,10.8,+23
28,27,2022-12-16,29-301,DEN,@,LAL,L (-18),1,30:00,3,5,.600,1,1,1.000,2,2,1.000,0,1,1,0,0,0,2,3,9,3.8,0
29,28,2022-12-18,29-303,DEN,,CHO,W (+4),1,32:20,8,15,.533,4,9,.444,0,0,,1,3,4,5,0,0,0,3,20,16.6,+12
30,29,2022-12-20,29-305,DEN,,MEM,W (+14),1,37:39,5,11,.455,2,4,.500,0,0,,0,7,7,1,1,0,3,2,12,6.3,+17
31,30,2022-12-23,29-308,DEN,,POR,W (+13),1,34:11,5,8,.625,3,5,.600,1,2,.500,0,2,2,0,2,0,0,2,14,11.8,+5
32,31,2022-12-25,29-310,DEN,,PHO,W (+3),1,38:52,4,10,.400,3,5,.600,4,4,1.000,0,2,2,4,2,0,1,3,15,12.8,+16
33,32,2022-12-27,29-312,DEN,@,SAC,W (+7),1,30:33,4,12,.333,1,5,.200,2,2,1.000,2,1,3,3,1,1,3,0,11,6.7,+16
34,33,2022-12-28,29-313,DEN,@,SAC,L (-1),1,30:56,3,7,.429,1,3,.333,0,0,,0,3,3,3,3,0,0,5,7,7.3,+6
35,34,2022-12-30,29-315,DEN,,MIA,W (+5),1,30:13,7,7,1.000,4,4,1.000,2,2,1.000,0,2,2,2,0,0,2,3,20,16.7,+7
36,35,2023-01-01,29-317,DEN,,BOS,W (+12),1,29:45,2,7,.286,2,3,.667,0,0,,0,3,3,4,1,0,1,4,6,4.0,+6
37,36,2023-01-02,29-318,DEN,@,MIN,L (-13),1,32:51,3,7,.429,1,2,.500,3,3,1.000,1,3,4,2,0,0,1,4,10,6.7,-11
38,37,2023-01-05,29-321,DEN,,LAC,W (+31),1,28:59,3,8,.375,3,5,.600,0,0,,0,4,4,5,1,0,1,1,9,8.9,+31
39,38,2023-01-06,29-322,DEN,,CLE,W (+13),1,29:54,4,7,.571,2,4,.500,4,4,1.000,0,1,1,2,0,0,1,1,14,11.0,+15
40,39,2023-01-09,29-325,DEN,,LAL,W (+13),1,30:39,6,14,.429,1,5,.200,3,3,1.000,1,2,3,3,1,0,1,1,16,11.6,+18
41,40,2023-01-11,29-327,DEN,,PHO,W (+29),1,26:47,5,7,.714,4,5,.800,1,1,1.000,0,3,3,2,2,0,0,1,15,16.0,+26
42,41,2023-01-13,29-329,DEN,@,LAC,W (+12),1,30:53,5,9,.556,3,5,.600,1,2,.500,0,2,2,2,2,1,0,2,14,13.2,+16
43,42,2023-01-15,29-331,DEN,,ORL,W (+3),1,34:51,5,11,.455,2,7,.286,0,1,.000,1,3,4,0,2,1,1,1,12,8.8,+11
44,43,2023-01-17,29-333,DEN,,POR,W (+9),1,32:05,2,9,.222,0,3,.000,5,5,1.000,0,1,1,3,3,1,0,4,9,8.0,+16
45,44,2023-01-18,29-334,DEN,,MIN,W (+4),1,34:50,4,6,.667,2,2,1.000,1,2,.500,0,1,1,2,3,0,1,1,11,11.3,+18
46,45,2023-01-20,29-336,DEN,,IND,W (+23),1,26:20,4,7,.571,1,3,.333,0,0,,0,1,1,1,3,0,3,4,9,5.1,+20
47,46,2023-01-22,29-338,DEN,,OKC,L (-2),1,36:54,3,8,.375,2,6,.333,2,3,.667,1,3,4,1,2,0,2,2,10,6.7,-3
48,47,2023-01-24,29-340,DEN,@,NOP,W (+1),1,30:38,3,9,.333,1,4,.250,0,0,,1,1,2,4,2,1,2,4,7,4.8,-10
49,,2023-01-25,29-341,DEN,@,MIL,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
50,48,2023-01-28,29-344,DEN,@,PHI,L (-7),1,33:40,3,8,.375,2,4,.500,0,0,,1,4,5,4,3,0,0,2,8,10.5,+5
51,49,2023-01-31,29-347,DEN,,NOP,W (+9),1,38:24,5,11,.455,3,7,.429,2,2,1.000,2,3,5,1,4,2,0,1,15,17.3,+16
52,50,2023-02-02,29-349,DEN,,GSW,W (+17),1,32:11,8,14,.571,1,3,.333,1,1,1.000,1,2,3,2,1,1,2,3,18,12.6,+16
53,51,2023-02-04,29-351,DEN,,ATL,W (+20),1,11:41,1,4,.250,1,2,.500,1,2,.500,0,0,0,0,0,0,0,1,4,0.8,-4
54,,2023-02-05,29-352,DEN,@,MIN,L (-30),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,52,2023-02-07,29-354,DEN,,MIN,W (+34),1,24:09,4,8,.500,1,3,.333,2,2,1.000,0,2,2,1,2,0,0,0,11,10.3,+24
56,53,2023-02-09,29-356,DEN,@,ORL,L (-11),1,39:12,4,7,.571,0,3,.000,1,1,1.000,1,3,4,5,1,0,1,3,9,9.6,+5
57,54,2023-02-11,29-358,DEN,@,CHO,W (+14),1,31:47,6,14,.429,0,4,.000,3,3,1.000,1,1,2,5,1,2,3,1,15,11.1,+11
58,55,2023-02-13,29-360,DEN,@,MIA,W (+4),1,36:05,3,5,.600,2,3,.667,0,0,,1,3,4,6,0,2,3,1,8,9.5,-2
59,56,2023-02-15,29-362,DEN,,DAL,W (+9),1,31:40,4,7,.571,3,6,.500,3,3,1.000,0,5,5,5,3,1,3,0,14,16.4,+8
60,57,2023-02-23,30-005,DEN,@,CLE,W (+6),1,34:28,6,6,1.000,4,4,1.000,1,1,1.000,0,3,3,2,3,2,2,2,17,19.1,+7
61,58,2023-02-25,30-007,DEN,@,MEM,L (-18),1,26:41,4,8,.500,0,4,.000,3,4,.750,0,1,1,1,1,1,1,2,11,7.5,-20
62,59,2023-02-26,30-008,DEN,,LAC,W (+10),1,37:42,2,4,.500,1,2,.500,3,3,1.000,1,0,1,0,3,0,2,5,8,5.7,+9
63,60,2023-02-28,30-010,DEN,@,HOU,W (+21),1,29:30,5,9,.556,2,5,.400,2,3,.667,0,1,1,6,2,0,1,0,14,14.8,+18
64,61,2023-03-03,30-013,DEN,,MEM,W (+16),1,30:56,2,6,.333,1,3,.333,3,4,.750,0,0,0,5,1,0,1,3,8,6.5,+14
