Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-19,24-112,DEN,@,UTA,L (-21),1,35:22,5,10,.500,2,4,.500,3,4,.750,2,5,7,1,1,0,4,4,15,8.6,+1
2,2,2022-10-21,24-114,DEN,@,GSW,W (+5),1,27:54,6,12,.500,5,10,.500,0,0,,0,6,6,1,1,1,0,5,17,13.2,-7
3,3,2022-10-22,24-115,DEN,,OKC,W (+5),1,27:39,8,15,.533,5,10,.500,1,1,1.000,2,4,6,1,1,1,3,4,22,15.1,+20
4,4,2022-10-24,24-117,DEN,@,POR,L (-25),1,25:31,7,14,.500,4,8,.500,0,0,,1,3,4,2,0,0,1,5,18,11.0,-3
5,,2022-10-26,24-119,DEN,,LAL,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,5,2022-10-28,24-121,DEN,,UTA,W (+16),1,30:03,7,15,.467,4,5,.800,4,5,.800,4,9,13,1,0,0,0,2,22,19.3,+22
7,6,2022-10-30,24-123,DEN,@,LAL,L (-11),1,27:50,5,15,.333,3,10,.300,4,5,.800,3,6,9,1,1,0,0,4,17,12.1,+10
8,7,2022-11-03,24-127,DEN,@,OKC,W (+12),1,28:36,4,10,.400,3,6,.500,0,0,,1,5,6,2,0,0,1,1,11,7.8,+7
9,8,2022-11-05,24-129,DEN,,SAS,W (+25),1,29:48,6,10,.600,3,6,.500,0,0,,1,8,9,0,1,0,2,3,15,11.3,+27
10,9,2022-11-07,24-131,DEN,@,SAS,W (+6),1,30:19,9,16,.563,4,8,.500,2,2,1.000,0,6,6,2,1,0,0,2,24,19.8,+3
11,10,2022-11-09,24-133,DEN,@,IND,W (+3),1,36:17,7,14,.500,3,7,.429,0,0,,2,4,6,2,0,1,1,0,17,13.7,-6
12,11,2022-11-11,24-135,DEN,@,BOS,L (-19),1,25:08,3,10,.300,1,6,.167,0,0,,0,4,4,0,0,0,0,2,7,1.6,-24
13,12,2022-11-13,24-137,DEN,@,CHI,W (+23),1,24:11,11,16,.688,6,9,.667,3,3,1.000,0,1,1,2,2,0,0,3,31,26.7,+23
14,13,2022-11-16,24-140,DEN,,NYK,L (-3),1,27:40,1,8,.125,1,6,.167,2,2,1.000,0,3,3,2,0,0,2,2,5,-0.7,-8
15,14,2022-11-18,24-142,DEN,@,DAL,L (-28),1,24:17,4,15,.267,1,5,.200,1,1,1.000,0,3,3,2,0,0,1,2,10,1.6,-21
16,15,2022-11-20,24-144,DEN,@,DAL,W (+1),1,30:57,6,11,.545,1,5,.200,1,4,.250,0,5,5,0,2,1,2,2,14,8.9,+6
17,16,2022-11-22,24-146,DEN,,DET,L (-2),1,33:23,7,15,.467,1,5,.200,3,3,1.000,3,5,8,1,0,2,1,1,18,14.6,+16
18,,2022-11-23,24-147,DEN,@,OKC,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,,2022-11-25,24-149,DEN,@,LAC,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,,2022-11-28,24-152,DEN,,HOU,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,,2022-11-30,24-154,DEN,,HOU,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,,2022-12-02,24-156,DEN,@,ATL,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,,2022-12-04,24-158,DEN,@,NOP,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,,2022-12-06,24-160,DEN,,DAL,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,2022-12-08,24-162,DEN,@,POR,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
