Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-18,27-237,GSW,,LAL,W (+14),1,29:28,8,14,.571,4,7,.571,0,0,,1,5,6,4,1,1,1,5,20,17.1,+25
2,2,2022-10-21,27-240,GSW,,DEN,L (-5),1,37:25,8,17,.471,2,8,.250,5,7,.714,3,5,8,3,3,1,0,2,23,22.1,+7
3,3,2022-10-23,27-242,GSW,,SAC,W (+5),1,31:30,10,19,.526,2,6,.333,2,3,.667,1,4,5,1,3,2,0,2,24,20.5,+14
4,4,2022-10-25,27-244,GSW,@,PHO,L (-29),1,31:20,7,17,.412,2,7,.286,0,0,,2,4,6,3,1,1,0,4,16,11.7,-25
5,5,2022-10-27,27-246,GSW,,MIA,W (+13),1,36:41,5,10,.500,2,5,.400,6,6,1.000,3,7,10,2,1,1,2,4,18,16.7,+17
6,6,2022-10-29,27-248,GSW,@,CHO,L (-7),1,40:52,4,13,.308,2,6,.333,0,0,,2,4,6,4,1,0,0,2,10,8.1,-3
7,7,2022-10-30,27-249,GSW,@,DET,L (-14),1,25:06,4,15,.267,1,3,.333,1,1,1.000,2,1,3,1,1,1,1,2,10,3.4,-25
8,8,2022-11-01,27-251,GSW,@,MIA,L (-7),1,34:39,8,12,.667,4,7,.571,1,2,.500,1,3,4,5,0,2,1,3,21,19.7,+8
9,9,2022-11-03,27-253,GSW,@,ORL,L (-1),1,32:57,6,12,.500,2,5,.400,1,3,.333,1,2,3,3,0,2,3,3,15,8.8,+3
10,,2022-11-04,27-254,GSW,@,NOP,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,10,2022-11-07,27-257,GSW,,SAC,W (+3),1,40:14,10,17,.588,4,8,.500,1,2,.500,1,9,10,2,2,1,4,2,25,19.4,+16
12,11,2022-11-11,27-261,GSW,,CLE,W (+5),1,36:38,8,13,.615,1,4,.250,3,3,1.000,1,5,6,0,2,1,3,4,20,14.4,-3
13,12,2022-11-13,27-263,GSW,@,SAC,L (-7),1,34:19,10,18,.556,3,9,.333,3,4,.750,2,2,4,2,2,0,0,3,26,21.2,-15
