Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-18,32-228,GSW,,LAL,W (+14),1,24:41,2,5,.400,0,0,,0,0,,0,5,5,5,0,0,1,1,4,4.9,+12
2,2,2022-10-21,32-231,GSW,,DEN,L (-5),1,26:38,4,6,.667,1,3,.333,4,4,1.000,0,3,3,9,2,2,1,6,13,17.6,+11
3,3,2022-10-23,32-233,GSW,,SAC,W (+5),1,28:21,3,4,.750,0,0,,1,2,.500,1,3,4,4,0,0,2,2,7,6.6,+17
4,4,2022-10-25,32-235,GSW,@,PHO,L (-29),1,29:11,7,10,.700,0,1,.000,0,0,,2,6,8,5,3,0,5,4,14,12.9,-17
5,5,2022-10-27,32-237,GSW,,MIA,W (+13),1,30:05,5,10,.500,0,1,.000,0,1,.000,2,5,7,4,0,0,5,1,10,4.9,+9
6,6,2022-10-29,32-239,GSW,@,CHO,L (-7),1,34:56,6,9,.667,0,1,.000,0,2,.000,2,6,8,6,1,3,3,6,12,12.4,-13
7,7,2022-10-30,32-240,GSW,@,DET,L (-14),1,26:00,2,5,.400,1,2,.500,2,2,1.000,0,7,7,7,0,1,4,4,7,6.4,-11
8,8,2022-11-01,32-242,GSW,@,MIA,L (-7),1,32:10,2,3,.667,1,2,.500,0,0,,0,6,6,3,3,0,1,4,5,8.0,+7
9,9,2022-11-03,32-244,GSW,@,ORL,L (-1),1,29:51,4,5,.800,0,0,,0,1,.000,0,5,5,7,1,0,0,6,8,10.7,+5
10,,2022-11-04,32-245,GSW,@,NOP,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,10,2022-11-07,32-248,GSW,,SAC,W (+3),1,36:21,4,7,.571,0,0,,3,5,.600,0,8,8,6,0,0,5,1,11,8.1,+19
12,11,2022-11-11,32-252,GSW,,CLE,W (+5),1,32:24,1,5,.200,0,0,,0,0,,1,8,9,13,1,0,0,5,2,10.1,+2
13,12,2022-11-13,32-254,GSW,@,SAC,L (-7),1,34:07,3,7,.429,0,2,.000,0,0,,0,7,7,11,0,1,3,3,6,8.6,-3
14,13,2022-11-14,32-255,GSW,,SAS,W (+37),1,25:29,1,6,.167,0,2,.000,2,2,1.000,1,6,7,6,1,0,1,2,4,6.1,+13
15,14,2022-11-16,32-257,GSW,@,PHO,L (-11),1,29:19,3,3,1.000,1,1,1.000,2,2,1.000,0,2,2,8,3,0,3,2,9,13.5,-19
16,15,2022-11-18,32-259,GSW,,NYK,W (+10),1,31:55,3,4,.750,1,1,1.000,3,4,.750,0,9,9,7,0,2,2,5,10,13.0,+24
17,16,2022-11-20,32-261,GSW,@,HOU,W (+7),1,31:46,2,4,.500,0,1,.000,0,0,,0,6,6,8,0,0,4,5,4,3.4,+18
18,,2022-11-21,32-262,GSW,@,NOP,L (-45),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,17,2022-11-23,32-264,GSW,,LAC,W (+17),1,33:00,4,4,1.000,1,1,1.000,0,0,,1,6,7,12,2,0,3,3,9,16.5,+21
20,18,2022-11-25,32-266,GSW,,UTA,W (+11),1,30:57,6,9,.667,1,2,.500,0,0,,1,2,3,5,1,2,2,3,13,13.1,+9
21,19,2022-11-27,32-268,GSW,@,MIN,W (+23),1,32:38,6,7,.857,1,2,.500,6,8,.750,1,3,4,11,0,2,0,2,19,25.6,+17
22,20,2022-11-29,32-270,GSW,@,DAL,L (-3),1,32:45,6,10,.600,0,3,.000,0,0,,0,6,6,4,1,1,3,3,12,9.5,-5
23,21,2022-12-02,32-273,GSW,,CHI,W (+8),1,35:53,4,6,.667,2,3,.667,3,3,1.000,0,9,9,10,0,2,4,2,13,16.7,+20
24,22,2022-12-03,32-274,GSW,,HOU,W (+19),1,31:45,1,6,.167,1,5,.200,0,0,,2,4,6,6,1,1,2,3,3,4.5,+22
25,23,2022-12-05,32-276,GSW,,IND,L (-8),1,33:58,1,8,.125,0,2,.000,0,0,,2,7,9,5,1,2,1,1,2,4.8,+6
26,,2022-12-07,32-278,GSW,@,UTA,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,24,2022-12-10,32-281,GSW,,BOS,W (+16),1,35:55,5,10,.500,0,2,.000,1,2,.500,0,4,4,2,0,1,3,0,11,5.9,+9
28,25,2022-12-13,32-284,GSW,@,MIL,L (-17),1,23:06,1,3,.333,0,0,,0,0,,0,6,6,7,0,0,3,2,2,3.2,-9
29,26,2022-12-14,32-285,GSW,@,IND,L (-6),1,27:03,0,3,.000,0,1,.000,1,2,.500,1,1,2,3,0,0,6,1,1,-4.8,+5
30,,2022-12-16,32-287,GSW,@,PHI,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,27,2022-12-18,32-289,GSW,@,TOR,W (+16),1,36:34,7,15,.467,3,6,.500,0,0,,3,6,9,5,0,0,2,3,17,13.5,+8
32,28,2022-12-20,32-291,GSW,@,NYK,L (-38),1,26:03,3,5,.600,1,3,.333,0,0,,1,4,5,6,0,0,1,3,7,8.6,-14
33,29,2022-12-21,32-292,GSW,@,BRK,L (-30),1,23:16,1,2,.500,0,1,.000,0,0,,0,4,4,6,0,0,2,2,2,3.6,-27
34,30,2022-12-25,32-296,GSW,,MEM,W (+14),1,35:13,1,3,.333,1,1,1.000,0,0,,0,13,13,13,1,2,2,2,3,13.9,+13
35,31,2022-12-27,32-298,GSW,,CHO,W (+5),1,34:42,3,7,.429,0,2,.000,3,3,1.000,0,10,10,5,0,1,3,4,9,7.9,+5
36,32,2022-12-28,32-299,GSW,,UTA,W (+5),1,29:50,2,7,.286,2,6,.333,0,0,,2,7,9,5,0,3,1,2,6,9.2,+6
37,33,2022-12-30,32-301,GSW,,POR,W (+6),1,32:38,4,11,.364,2,4,.500,0,0,,3,8,11,4,1,0,1,3,10,10.0,+8
38,34,2023-01-02,32-304,GSW,,ATL,W (+2),1,44:35,2,5,.400,1,1,1.000,0,0,,1,12,13,11,2,3,2,4,5,14.8,+9
39,35,2023-01-04,32-306,GSW,,DET,L (-3),1,30:05,2,4,.500,0,2,.000,0,0,,2,6,8,7,0,1,2,0,4,8.8,0
40,36,2023-01-07,32-309,GSW,,ORL,L (-14),1,32:31,2,6,.333,1,5,.200,0,2,.000,0,5,5,6,0,0,3,4,5,1.9,-3
41,37,2023-01-10,32-312,GSW,,PHO,L (-12),1,34:21,1,5,.200,1,3,.333,2,2,1.000,1,11,12,6,3,0,3,4,5,8.5,-2
42,38,2023-01-13,32-315,GSW,@,SAS,W (+31),1,28:58,3,5,.600,0,1,.000,0,0,,0,12,12,4,3,1,2,3,6,10.6,+20
43,39,2023-01-15,32-317,GSW,@,CHI,L (-14),1,30:11,2,6,.333,0,1,.000,4,5,.800,1,3,4,7,2,1,6,4,8,5.8,-28
44,40,2023-01-16,32-318,GSW,@,WAS,W (+9),1,35:12,5,7,.714,2,3,.667,5,6,.833,2,4,6,10,3,0,2,3,17,23.1,-4
45,41,2023-01-19,32-321,GSW,@,BOS,L (-3),1,37:09,3,5,.600,1,2,.500,4,4,1.000,2,11,13,9,1,0,2,4,11,17.1,-4
46,,2023-01-20,32-322,GSW,@,CLE,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
47,42,2023-01-22,32-324,GSW,,BRK,L (-4),1,32:46,4,7,.571,1,2,.500,0,0,,1,10,11,7,1,0,1,4,9,12.7,-18
48,43,2023-01-25,32-327,GSW,,MEM,W (+2),1,32:08,3,3,1.000,0,0,,2,4,.500,0,13,13,7,1,3,5,5,8,11.2,+2
49,44,2023-01-27,32-329,GSW,,TOR,W (+12),1,32:44,2,4,.500,0,1,.000,1,2,.500,0,7,7,7,0,0,2,1,5,7.2,+4
50,45,2023-01-30,32-332,GSW,@,OKC,W (+8),1,31:23,3,4,.750,0,1,.000,1,2,.500,1,8,9,12,2,0,3,3,7,14.3,+2
51,46,2023-02-01,32-334,GSW,@,MIN,L (-5),1,39:28,5,10,.500,0,0,,0,3,.000,0,12,12,4,1,0,5,3,10,5.0,-6
52,,2023-02-02,32-335,GSW,@,DEN,L (-17),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
53,47,2023-02-04,32-337,GSW,,DAL,W (+6),1,32:20,6,13,.462,3,7,.429,2,2,1.000,0,9,9,9,0,2,2,3,17,17.5,+2
54,48,2023-02-06,32-339,GSW,,OKC,W (+27),1,27:55,3,4,.750,0,1,.000,1,2,.500,1,9,10,4,3,2,2,2,7,12.8,+8
55,49,2023-02-08,32-341,GSW,@,POR,L (-3),1,34:30,2,7,.286,0,1,.000,0,0,,4,2,6,7,0,1,4,3,4,3.7,+4
56,50,2023-02-11,32-344,GSW,,LAL,L (-6),1,33:54,5,8,.625,1,3,.333,1,1,1.000,0,7,7,10,2,1,4,4,12,14.6,+10
57,51,2023-02-13,32-346,GSW,,WAS,W (+9),1,23:59,2,3,.667,0,0,,0,0,,0,0,0,6,2,0,2,4,4,5.3,+3
58,52,2023-02-14,32-347,GSW,@,LAC,L (-10),1,33:10,6,6,1.000,1,1,1.000,2,2,1.000,0,5,5,7,1,0,3,3,15,16.4,-9
59,53,2023-02-23,32-356,GSW,@,LAL,L (-13),1,24:45,3,10,.300,0,1,.000,0,0,,4,7,11,5,1,1,2,3,6,7.1,-7
60,,2023-02-24,32-357,GSW,,HOU,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
61,,2023-02-26,32-359,GSW,,MIN,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
62,54,2023-02-28,32-361,GSW,,POR,W (+18),1,32:10,4,5,.800,1,2,.500,3,4,.750,0,9,9,8,2,2,3,5,12,16.4,+26
63,55,2023-03-02,32-363,GSW,,LAC,W (+24),1,29:03,5,7,.714,0,1,.000,1,2,.500,1,8,9,9,0,0,4,4,11,11.5,+19
64,56,2023-03-03,32-364,GSW,,NOP,W (+9),1,23:37,2,4,.500,0,1,.000,0,0,,0,5,5,1,0,1,4,6,4,-1.5,+4
65,57,2023-03-05,33-001,GSW,@,LAL,L (-8),1,31:03,7,11,.636,0,1,.000,1,3,.333,1,7,8,3,0,0,1,4,15,11.6,+6
66,58,2023-03-07,33-003,GSW,@,OKC,L (-9),1,32:43,5,7,.714,1,1,1.000,0,0,,0,1,1,11,1,0,2,2,11,14.3,+4
67,59,2023-03-09,33-005,GSW,@,MEM,L (-21),1,30:13,5,9,.556,0,1,.000,6,6,1.000,1,4,5,7,3,0,5,1,16,16.1,-1
68,60,2023-03-11,33-007,GSW,,MIL,W (+9),1,35:55,2,10,.200,1,4,.250,0,0,,2,11,13,9,0,0,2,0,5,7.8,+22
69,61,2023-03-13,33-009,GSW,,PHO,W (+11),1,30:01,2,3,.667,0,0,,0,0,,1,5,6,4,2,3,1,3,4,9.6,-5
70,62,2023-03-15,33-011,GSW,@,LAC,L (-8),1,35:08,3,7,.429,1,1,1.000,1,1,1.000,1,7,8,5,1,0,4,5,8,5.6,-5
71,,2023-03-17,33-013,GSW,@,ATL,L (-8),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
72,63,2023-03-18,33-014,GSW,@,MEM,L (-14),1,30:28,5,9,.556,0,1,.000,1,2,.500,2,5,7,5,0,0,2,3,11,9.5,-3
73,64,2023-03-20,33-016,GSW,@,HOU,W (+13),1,33:46,4,4,1.000,0,0,,0,0,,0,7,7,7,1,1,2,3,8,12.3,+15
74,65,2023-03-22,33-018,GSW,@,DAL,W (+2),1,24:44,6,10,.600,1,4,.250,1,1,1.000,0,4,4,8,3,4,3,5,14,17.0,+3
75,66,2023-03-24,33-020,GSW,,PHI,W (+8),1,34:37,5,11,.455,0,5,.000,0,0,,1,6,7,10,1,0,5,3,10,8.6,+15
76,67,2023-03-26,33-022,GSW,,MIN,L (-3),1,35:44,5,9,.556,1,3,.333,1,2,.500,1,6,7,5,1,0,5,4,12,7.7,-7
77,68,2023-03-28,33-024,GSW,,NOP,W (+11),1,32:54,4,5,.800,0,0,,0,0,,0,6,6,13,2,0,4,5,8,13.0,+26
78,69,2023-03-31,33-027,GSW,,SAS,W (+15),1,29:27,1,4,.250,0,1,.000,2,2,1.000,2,4,6,11,0,1,6,4,4,5.0,+19
79,70,2023-04-02,33-029,GSW,@,DEN,L (-2),1,36:34,2,7,.286,0,1,.000,0,0,,4,5,9,7,1,0,4,5,4,4.1,+1
80,71,2023-04-04,33-031,GSW,,OKC,W (+11),1,35:50,6,9,.667,1,3,.333,4,5,.800,3,6,9,5,2,2,3,2,17,19.7,+3
81,72,2023-04-07,33-034,GSW,@,SAC,W (+22),1,33:17,2,5,.400,0,2,.000,0,0,,0,5,5,5,1,2,5,5,4,1.7,+30
82,73,2023-04-09,33-036,GSW,@,POR,W (+56),1,19:41,4,7,.571,1,2,.500,0,0,,0,3,3,4,2,2,3,0,9,9.8,+23
