Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-18,23-121,GSW,,LAL,W (+14),0,28:11,4,15,.267,2,9,.222,2,2,1.000,0,2,2,7,2,0,4,2,12,5.8,+1
2,2,2022-10-21,23-124,GSW,,DEN,L (-5),0,27:20,2,5,.400,0,2,.000,3,4,.750,0,1,1,7,3,0,4,0,7,8.1,-20
3,3,2022-10-23,23-126,GSW,,SAC,W (+5),0,27:03,7,14,.500,3,5,.600,7,9,.778,0,0,0,4,1,0,1,2,24,18.2,-18
4,4,2022-10-25,23-128,GSW,@,PHO,L (-29),0,27:05,6,12,.500,2,5,.400,3,4,.750,0,2,2,5,0,0,1,5,17,11.7,-15
5,5,2022-10-27,23-130,GSW,,MIA,W (+13),0,21:21,4,7,.571,1,4,.250,2,2,1.000,0,1,1,7,1,0,2,2,11,11.1,-1
6,6,2022-10-29,23-132,GSW,@,CHO,L (-7),0,36:30,10,20,.500,4,11,.364,0,0,,0,2,2,4,2,1,3,4,24,15.5,+2
7,7,2022-10-30,23-133,GSW,@,DET,L (-14),1,36:02,10,21,.476,5,13,.385,5,5,1.000,1,2,3,4,2,0,3,4,30,20.8,-1
8,8,2022-11-01,23-135,GSW,@,MIA,L (-7),0,28:53,3,10,.300,1,7,.143,2,4,.500,0,2,2,2,0,0,5,2,9,-1.4,-23
9,9,2022-11-03,23-137,GSW,@,ORL,L (-1),0,24:19,4,12,.333,1,5,.200,2,3,.667,1,1,2,2,0,0,4,2,11,1.4,-10
10,10,2022-11-04,23-138,GSW,@,NOP,L (-9),1,38:24,5,18,.278,3,10,.300,7,7,1.000,0,0,0,9,2,0,5,2,20,11.9,-1
11,11,2022-11-07,23-141,GSW,,SAC,W (+3),0,21:49,1,4,.250,0,2,.000,0,1,.000,1,0,1,3,0,0,3,2,2,-1.8,-11
12,12,2022-11-11,23-145,GSW,,CLE,W (+5),0,33:30,6,13,.462,4,8,.500,2,2,1.000,0,4,4,3,0,0,3,2,18,10.8,+1
13,13,2022-11-13,23-147,GSW,@,SAC,L (-7),0,20:21,6,14,.429,3,7,.429,3,3,1.000,0,3,3,1,1,0,4,3,18,8.0,-1
14,14,2022-11-14,23-148,GSW,,SAS,W (+37),1,29:08,13,20,.650,5,10,.500,5,6,.833,0,2,2,2,3,1,0,1,36,32.1,+33
15,15,2022-11-16,23-150,GSW,@,PHO,L (-11),0,26:45,0,5,.000,0,3,.000,2,2,1.000,1,1,2,8,0,1,1,2,2,4.0,-2
16,16,2022-11-18,23-152,GSW,,NYK,W (+10),0,26:09,5,17,.294,3,8,.375,0,0,,1,2,3,4,0,1,3,3,13,3.7,-15
17,17,2022-11-20,23-154,GSW,@,HOU,W (+7),0,24:33,3,8,.375,1,2,.500,3,3,1.000,0,2,2,4,0,1,1,0,10,8.7,-6
18,18,2022-11-21,23-155,GSW,@,NOP,L (-45),1,26:56,9,18,.500,2,9,.222,6,7,.857,0,0,0,0,1,1,4,1,26,13.9,-25
19,19,2022-11-23,23-157,GSW,,LAC,W (+17),0,21:38,3,15,.200,0,8,.000,2,3,.667,0,1,1,5,0,1,2,3,8,-0.4,+19
20,20,2022-11-25,23-159,GSW,,UTA,W (+11),0,25:33,7,15,.467,2,8,.250,3,3,1.000,0,4,4,6,0,0,3,1,19,13.3,+4
21,21,2022-11-27,23-161,GSW,@,MIN,W (+23),0,26:52,9,17,.529,3,9,.333,3,4,.750,1,3,4,6,0,0,4,4,24,15.5,+9
22,22,2022-11-29,23-163,GSW,@,DAL,L (-3),0,26:52,3,9,.333,1,6,.167,2,2,1.000,0,2,2,9,1,0,5,4,9,5.2,+14
23,23,2022-12-02,23-166,GSW,,CHI,W (+8),0,23:24,11,18,.611,7,13,.538,1,2,.500,0,1,1,1,1,0,3,1,30,20.0,-6
24,24,2022-12-03,23-167,GSW,,HOU,W (+19),1,27:42,8,14,.571,5,8,.625,0,0,,0,2,2,5,1,0,2,4,21,15.9,+25
25,25,2022-12-05,23-169,GSW,,IND,L (-8),1,31:45,10,21,.476,2,8,.250,1,1,1.000,1,4,5,4,0,1,3,1,23,14.3,-6
26,26,2022-12-07,23-171,GSW,@,UTA,L (-1),1,36:49,10,23,.435,4,13,.308,12,13,.923,1,3,4,8,0,0,6,1,36,24.3,+4
27,27,2022-12-10,23-174,GSW,,BOS,W (+16),1,32:35,5,16,.313,1,9,.111,9,10,.900,0,3,3,4,0,1,2,1,20,12.4,-1
28,28,2022-12-13,23-177,GSW,@,MIL,L (-17),1,31:53,6,17,.353,3,7,.429,3,3,1.000,0,2,2,3,0,0,4,2,18,6.4,-13
29,29,2022-12-14,23-178,GSW,@,IND,L (-6),1,33:16,8,22,.364,1,7,.143,3,3,1.000,2,3,5,5,1,0,4,5,20,8.6,+5
30,30,2022-12-16,23-180,GSW,@,PHI,L (-12),1,36:51,10,20,.500,4,9,.444,5,6,.833,0,1,1,4,1,0,4,2,29,17.9,-9
31,31,2022-12-18,23-182,GSW,@,TOR,W (+16),1,34:35,14,23,.609,5,11,.455,10,11,.909,0,1,1,6,1,0,4,4,43,32.0,+11
