Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-18,26-254,GSW,,LAL,W (+14),1,21:08,3,4,.750,0,0,,1,1,1.000,2,4,6,2,1,0,0,2,7,9.6,+30
2,2,2022-10-21,26-257,GSW,,DEN,L (-5),1,18:45,2,4,.500,0,0,,0,0,,0,1,1,4,0,0,0,3,4,3.9,+3
3,3,2022-10-23,26-259,GSW,,SAC,W (+5),1,24:46,3,4,.750,0,0,,0,2,.000,2,6,8,6,0,1,0,3,6,10.5,+18
4,4,2022-10-25,26-261,GSW,@,PHO,L (-29),1,17:07,3,3,1.000,0,0,,0,0,,2,2,4,3,0,0,1,4,6,6.6,-4
5,5,2022-10-27,26-263,GSW,,MIA,W (+13),1,29:12,3,5,.600,0,0,,1,2,.500,2,6,8,4,0,0,1,2,7,8.5,+12
6,6,2022-10-29,26-265,GSW,@,CHO,L (-7),1,27:46,3,6,.500,0,0,,4,6,.667,4,5,9,4,0,1,0,2,10,13.2,-3
7,7,2022-10-30,26-266,GSW,@,DET,L (-14),1,21:32,1,4,.250,0,0,,0,0,,6,3,9,2,0,0,0,2,2,5.3,-17
8,8,2022-11-01,26-268,GSW,@,MIA,L (-7),1,23:51,2,2,1.000,0,0,,0,0,,0,3,3,2,1,0,0,3,4,5.5,+11
9,9,2022-11-03,26-270,GSW,@,ORL,L (-1),1,29:22,8,11,.727,0,0,,1,1,1.000,2,5,7,3,1,0,0,5,17,16.5,+10
10,10,2022-11-04,26-271,GSW,@,NOP,L (-9),1,24:35,2,3,.667,0,0,,1,1,1.000,1,4,5,2,0,0,0,5,5,5.0,-7
11,11,2022-11-07,26-274,GSW,,SAC,W (+3),1,20:43,1,4,.250,0,0,,0,0,,3,10,13,4,1,1,0,4,2,7.6,+8
12,12,2022-11-11,26-278,GSW,,CLE,W (+5),1,30:25,3,4,.750,0,0,,1,1,1.000,1,8,9,3,0,2,2,4,7,8.4,+7
13,13,2022-11-13,26-280,GSW,@,SAC,L (-7),1,29:21,4,7,.571,0,0,,0,0,,6,4,10,2,0,2,3,4,8,8.3,-4
14,14,2022-11-14,26-281,GSW,,SAS,W (+37),1,17:33,1,3,.333,0,0,,0,0,,1,3,4,4,1,0,0,0,2,5.7,+17
15,15,2022-11-16,26-283,GSW,@,PHO,L (-11),1,20:25,5,6,.833,0,0,,0,0,,2,6,8,2,0,1,0,2,10,12.3,-11
16,16,2022-11-18,26-285,GSW,,NYK,W (+10),1,23:51,1,2,.500,0,0,,3,4,.750,3,5,8,3,1,0,0,4,5,8.7,+20
17,17,2022-11-20,26-287,GSW,@,HOU,W (+7),1,28:46,1,2,.500,0,0,,1,2,.500,2,5,7,5,0,1,0,6,3,6.3,0
18,18,2022-11-21,26-288,GSW,@,NOP,L (-45),1,5:23,0,0,,0,0,,0,0,,0,3,3,0,0,0,1,1,0,-0.5,-8
19,19,2022-11-23,26-290,GSW,,LAC,W (+17),1,16:31,4,4,1.000,0,0,,1,3,.333,0,3,3,2,2,2,0,5,9,10.7,+7
20,20,2022-11-25,26-292,GSW,,UTA,W (+11),1,27:56,5,8,.625,0,0,,0,1,.000,7,5,12,4,0,0,2,1,10,12.8,+2
21,21,2022-11-27,26-294,GSW,@,MIN,W (+23),1,22:07,1,1,1.000,0,0,,0,0,,2,5,7,4,1,0,0,2,2,7.6,+23
22,22,2022-11-29,26-296,GSW,@,DAL,L (-3),1,17:38,4,4,1.000,0,0,,3,3,1.000,3,3,6,1,0,0,0,1,11,13.1,-15
23,23,2022-12-02,26-299,GSW,,CHI,W (+8),1,27:17,3,5,.600,0,0,,1,4,.250,4,8,12,3,1,1,0,1,7,12.1,+11
24,24,2022-12-03,26-300,GSW,,HOU,W (+19),1,27:13,3,4,.750,0,0,,3,5,.600,0,12,12,2,0,1,0,2,9,11.5,+19
25,25,2022-12-05,26-302,GSW,,IND,L (-8),1,13:41,2,2,1.000,0,0,,2,2,1.000,1,6,7,0,0,0,0,1,6,7.5,-21
26,26,2022-12-07,26-304,GSW,@,UTA,L (-1),1,29:13,3,5,.600,0,0,,1,1,1.000,5,4,9,1,0,1,1,4,7,8.2,+10
27,27,2022-12-10,26-307,GSW,,BOS,W (+16),1,26:30,3,4,.750,0,0,,1,2,.500,3,12,15,3,0,2,0,1,7,13.8,+19
28,28,2022-12-13,26-310,GSW,@,MIL,L (-17),1,18:45,2,4,.500,0,0,,1,2,.500,4,4,8,1,1,0,0,3,5,7.1,-15
29,29,2022-12-14,26-311,GSW,@,IND,L (-6),1,21:23,2,5,.400,0,0,,0,0,,1,5,6,3,0,0,0,3,4,4.4,-10
30,30,2022-12-16,26-313,GSW,@,PHI,L (-12),1,26:14,6,8,.750,0,0,,2,2,1.000,3,8,11,9,2,2,0,3,14,23.8,-4
31,31,2022-12-18,26-315,GSW,@,TOR,W (+16),1,28:10,4,7,.571,0,0,,3,3,1.000,6,5,11,2,0,1,0,3,11,14.3,+12
32,32,2022-12-20,26-317,GSW,@,NYK,L (-38),1,20:50,1,1,1.000,0,0,,0,0,,1,5,6,4,0,0,0,2,2,5.9,-14
33,33,2022-12-21,26-318,GSW,@,BRK,L (-30),1,16:55,2,5,.400,0,0,,2,2,1.000,4,3,7,1,0,0,1,3,6,5.5,-10
34,34,2022-12-25,26-322,GSW,,MEM,W (+14),1,22:42,1,3,.333,0,0,,1,4,.250,2,3,5,4,1,1,0,4,3,5.3,-3
35,35,2022-12-27,26-324,GSW,,CHO,W (+5),1,17:31,4,8,.500,0,0,,3,4,.750,3,6,9,1,0,0,1,3,11,9.0,-4
36,36,2022-12-28,26-325,GSW,,UTA,W (+5),1,26:04,3,3,1.000,0,0,,0,0,,2,10,12,5,0,0,1,2,6,11.2,0
37,37,2022-12-30,26-327,GSW,,POR,W (+6),1,25:51,2,6,.333,0,0,,0,2,.000,8,3,11,2,0,0,0,2,4,6.9,-9
38,38,2023-01-02,26-330,GSW,,ATL,W (+2),1,32:25,4,8,.500,0,0,,6,8,.750,10,10,20,4,0,1,0,4,14,21.1,-20
39,39,2023-01-04,26-332,GSW,,DET,L (-3),1,27:42,4,6,.667,0,0,,0,0,,6,9,15,2,2,2,2,4,8,13.5,-5
40,40,2023-01-07,26-335,GSW,,ORL,L (-14),1,25:38,2,2,1.000,0,0,,3,4,.750,5,7,12,2,1,0,1,2,7,12.2,-18
41,41,2023-01-10,26-338,GSW,,PHO,L (-12),1,21:09,0,1,.000,0,0,,1,2,.500,2,6,8,0,1,0,1,3,1,1.9,-13
42,42,2023-01-13,26-341,GSW,@,SAS,W (+31),1,20:59,6,7,.857,0,0,,2,3,.667,2,8,10,3,0,0,2,3,14,13.8,+6
43,43,2023-01-15,26-343,GSW,@,CHI,L (-14),1,26:14,4,4,1.000,0,0,,1,2,.500,2,4,6,1,1,0,1,2,9,9.9,+5
44,44,2023-01-16,26-344,GSW,@,WAS,W (+9),1,27:06,1,3,.333,0,0,,0,0,,5,4,9,3,1,0,1,4,2,5.5,-2
45,45,2023-01-19,26-347,GSW,@,BOS,L (-3),0,20:05,1,1,1.000,0,0,,0,0,,3,9,12,3,0,0,2,3,2,5.4,+3
46,46,2023-01-20,26-348,GSW,@,CLE,W (+6),1,31:45,2,4,.500,0,0,,0,0,,6,11,17,4,2,2,0,1,4,15.3,+10
47,47,2023-01-22,26-350,GSW,,BRK,L (-4),0,19:31,5,7,.714,0,0,,4,8,.500,3,7,10,0,2,1,0,2,14,15.6,+14
48,48,2023-01-25,26-353,GSW,,MEM,W (+2),0,20:26,2,4,.500,0,0,,0,0,,4,4,8,3,1,0,0,1,4,8.7,-6
49,49,2023-01-27,26-355,GSW,,TOR,W (+12),1,23:45,6,7,.857,0,0,,0,2,.000,1,7,8,3,0,0,0,6,12,11.2,+12
50,50,2023-01-30,26-358,GSW,@,OKC,W (+8),0,22:31,3,5,.600,0,0,,2,2,1.000,4,2,6,0,0,1,0,1,8,9.4,-1
51,51,2023-02-01,26-360,GSW,@,MIN,L (-5),0,28:42,4,5,.800,0,0,,2,2,1.000,3,6,9,0,2,2,0,4,10,13.8,+12
52,52,2023-02-02,26-361,GSW,@,DEN,L (-17),1,23:32,1,2,.500,0,0,,1,2,.500,1,5,6,2,0,1,2,4,3,2.3,-8
53,53,2023-02-04,26-363,GSW,,DAL,W (+6),1,19:02,4,6,.667,0,0,,2,4,.500,3,4,7,0,2,0,0,5,10,9.9,-4
