Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-18,34-218,GSW,,LAL,W (+14),1,32:48,10,22,.455,4,13,.308,9,9,1.000,1,5,6,7,4,1,4,1,33,29.0,+20
2,2,2022-10-21,34-221,GSW,,DEN,L (-5),1,35:55,10,22,.455,5,11,.455,9,9,1.000,1,4,5,4,0,0,3,2,34,23.5,+9
3,3,2022-10-23,34-223,GSW,,SAC,W (+5),1,31:21,11,22,.500,7,12,.583,4,4,1.000,0,5,5,2,1,0,2,3,33,22.7,+19
4,4,2022-10-25,34-225,GSW,@,PHO,L (-29),1,29:55,7,17,.412,4,9,.444,3,5,.600,0,7,7,8,1,0,1,1,21,18.4,-17
5,5,2022-10-27,34-227,GSW,,MIA,W (+13),1,36:57,13,22,.591,7,14,.500,0,0,,1,6,7,9,1,0,3,0,33,29.6,+13
6,6,2022-10-29,34-229,GSW,@,CHO,L (-7),1,38:54,10,22,.455,3,13,.231,8,8,1.000,0,11,11,6,1,0,2,5,31,24.1,-6
7,7,2022-10-30,34-230,GSW,@,DET,L (-14),1,34:58,10,24,.417,4,14,.286,8,9,.889,0,6,6,3,2,0,1,1,32,23.3,-12
8,8,2022-11-01,34-232,GSW,@,MIA,L (-7),1,34:30,7,14,.500,4,10,.400,5,5,1.000,4,9,13,13,1,0,5,3,23,25.4,+3
9,9,2022-11-03,34-234,GSW,@,ORL,L (-1),1,38:20,13,22,.591,8,15,.533,5,5,1.000,1,2,3,9,0,0,5,3,39,30.2,+4
10,,2022-11-04,34-235,GSW,@,NOP,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,10,2022-11-07,34-238,GSW,,SAC,W (+3),1,37:43,17,24,.708,7,12,.583,6,7,.857,0,8,8,8,0,0,0,2,47,43.8,+20
12,11,2022-11-11,34-242,GSW,,CLE,W (+5),1,34:00,15,23,.652,6,11,.545,4,6,.667,0,4,4,5,1,0,2,4,40,31.2,+7
13,12,2022-11-13,34-244,GSW,@,SAC,L (-7),1,36:51,9,17,.529,3,9,.333,6,6,1.000,0,6,6,4,1,0,4,0,27,20.3,0
14,13,2022-11-14,34-245,GSW,,SAS,W (+37),1,27:01,5,11,.455,3,7,.429,3,3,1.000,1,4,5,5,1,0,1,1,16,15.3,+17
15,14,2022-11-16,34-247,GSW,@,PHO,L (-11),1,36:14,17,28,.607,7,11,.636,9,9,1.000,0,9,9,6,0,1,3,2,50,41.0,-14
16,15,2022-11-18,34-249,GSW,,NYK,W (+10),1,33:50,9,19,.474,5,13,.385,1,3,.333,0,6,6,10,2,0,5,2,24,18.5,+18
17,16,2022-11-20,34-251,GSW,@,HOU,W (+7),1,36:59,11,20,.550,7,14,.500,4,5,.800,0,6,6,15,3,2,1,3,33,37.5,+22
18,,2022-11-21,34-252,GSW,@,NOP,L (-45),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,17,2022-11-23,34-254,GSW,,LAC,W (+17),1,31:41,9,20,.450,4,10,.400,0,0,,1,5,6,9,0,0,1,0,22,19.1,+18
20,18,2022-11-25,34-256,GSW,,UTA,W (+11),1,35:43,13,23,.565,6,13,.462,1,1,1.000,0,5,5,4,2,0,5,4,33,21.8,+19
21,19,2022-11-27,34-258,GSW,@,MIN,W (+23),1,32:37,7,17,.412,4,11,.364,7,7,1.000,1,10,11,8,1,0,7,1,25,18.8,+22
22,20,2022-11-29,34-260,GSW,@,DAL,L (-3),1,37:48,11,24,.458,5,14,.357,5,6,.833,1,4,5,5,0,0,4,4,32,19.0,-12
23,21,2022-12-02,34-263,GSW,,CHI,W (+8),1,33:23,6,16,.375,4,8,.500,3,3,1.000,0,11,11,6,0,1,6,5,19,10.4,-1
24,22,2022-12-03,34-264,GSW,,HOU,W (+19),1,34:32,10,21,.476,8,17,.471,2,3,.667,0,3,3,10,1,1,4,0,30,24.5,+19
25,23,2022-12-05,34-266,GSW,,IND,L (-8),1,37:42,3,17,.176,2,10,.200,4,4,1.000,0,4,4,6,1,0,3,2,12,3.9,-17
26,,2022-12-07,34-268,GSW,@,UTA,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,24,2022-12-10,34-271,GSW,,BOS,W (+16),1,37:27,12,21,.571,6,11,.545,2,2,1.000,1,5,6,7,0,1,4,3,32,24.7,+20
28,25,2022-12-13,34-274,GSW,@,MIL,L (-17),1,27:19,6,17,.353,3,10,.300,5,5,1.000,2,4,6,1,1,1,2,0,20,13.5,-20
29,26,2022-12-14,34-275,GSW,@,IND,L (-6),1,29:33,11,19,.579,5,10,.500,11,11,1.000,1,6,7,7,2,1,3,2,38,35.4,-6
30,,2022-12-16,34-277,GSW,@,PHI,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,,2022-12-18,34-279,GSW,@,TOR,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,,2022-12-20,34-281,GSW,@,NYK,L (-38),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,,2022-12-21,34-282,GSW,@,BRK,L (-30),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,2022-12-25,34-286,GSW,,MEM,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,,2022-12-27,34-288,GSW,,CHO,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,,2022-12-28,34-289,GSW,,UTA,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,,2022-12-30,34-291,GSW,,POR,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,,2023-01-02,34-294,GSW,,ATL,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
